,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,lambda,mu,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_perturb,rim_radius,rim_shear_mod,rim_young_mod,sim_temp_factor,spk_diameter,spk_eltype,spk_num,spk_paired,spk_young_mod,wheel_pickle
Tc_lambda5.0,0.05,0.05,0.025,0.025,Tc_lambda5.0,5.0,0.376811594203,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000554502520983,beam,56.0,0.0,2e+11,Tc_lambda5.0.pkl
Tc_lambda6.8,0.05,0.05,0.025,0.025,Tc_lambda6.8,6.79678195439,0.376811594203,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000624580728552,beam,60.0,0.0,2e+11,Tc_lambda6.8.pkl
Tc_lambda9.2,0.05,0.05,0.025,0.025,Tc_lambda9.2,9.23924898711,0.376811594203,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000694318766846,beam,66.0,0.0,2e+11,Tc_lambda9.2.pkl
Tc_lambda12.6,0.05,0.05,0.025,0.025,Tc_lambda12.6,12.5594321575,0.376811594203,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000786047007113,beam,70.0,0.0,2e+11,Tc_lambda12.6.pkl
Tc_lambda17.1,0.05,0.05,0.025,0.025,Tc_lambda17.1,17.0727443692,0.376811594203,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000879543673271,beam,76.0,0.0,2e+11,Tc_lambda17.1.pkl
Tc_lambda23.2,0.05,0.05,0.025,0.025,Tc_lambda23.2,23.2079441681,0.376811594203,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.000987242732965,beam,82.0,0.0,2e+11,Tc_lambda23.2.pkl
Tc_lambda31.5,0.05,0.05,0.025,0.025,Tc_lambda31.5,31.547867224,0.376811594203,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.00111110781542,beam,88.0,0.0,2e+11,Tc_lambda31.5.pkl
Tc_lambda42.9,0.05,0.05,0.025,0.025,Tc_lambda42.9,42.8847949295,0.376811594203,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.00124030526888,beam,96.0,0.0,2e+11,Tc_lambda42.9.pkl
Tc_lambda58.3,0.05,0.05,0.025,0.025,Tc_lambda58.3,58.295720059,0.376811594203,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.00140291314961,beam,102.0,0.0,2e+11,Tc_lambda58.3.pkl
Tc_lambda79.2,0.05,0.05,0.025,0.025,Tc_lambda79.2,79.2446596231,0.376811594203,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.00157507484609,beam,110.0,0.0,2e+11,Tc_lambda79.2.pkl
Tc_lambda107.7,0.05,0.05,0.025,0.025,Tc_lambda107.7,107.721734502,0.376811594203,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.00175822148254,beam,120.0,0.0,2e+11,Tc_lambda107.7.pkl
Tc_lambda146.4,0.05,0.05,0.025,0.025,Tc_lambda146.4,146.432228231,0.376811594203,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.00196951455947,beam,130.0,0.0,2e+11,Tc_lambda146.4.pkl
Tc_lambda199.1,0.05,0.05,0.025,0.025,Tc_lambda199.1,199.053585277,0.376811594203,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.00221275596734,beam,140.0,0.0,2e+11,Tc_lambda199.1.pkl
Tc_lambda270.6,0.05,0.05,0.025,0.025,Tc_lambda270.6,270.584763273,0.376811594203,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.00249240478067,beam,150.0,0.0,2e+11,Tc_lambda270.6.pkl
Tc_lambda367.8,0.05,0.05,0.025,0.025,Tc_lambda367.8,367.82112723,0.376811594203,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.00279623304992,beam,162.0,0.0,2e+11,Tc_lambda367.8.pkl
Tc_lambda500.0,0.05,0.05,0.025,0.025,Tc_lambda500.0,500.0,0.376811594203,1e-09,1e-09,1e-09,0.0,0.0001,"[0.0, 1e-05, 1e-05, 1e-05, 1e-05]",0.3,26000000000.0,69000000000.0,1.5,0.00312781605512,beam,176.0,0.0,2e+11,Tc_lambda500.0.pkl
