Property,Unit,std_elbows_in,std_elbows_out,cheap_MTB,vintage_road,racing_700,folding,track,tandem,high_wheel
rim_name,,Sun-Ringle CR18 700C,Sun-Ringle CR18 700C,1wall 26,1wall 27,2wall 700,small,deep V,2wall 700,high wheel
rim_radius,mm,304,304,280,315,300,225,300,300,600
rim_mass,g,538,538,,,,,,,
rim_density,kg/m^3,2700,2700,2700,2700,2700,2700,2700,2700,2700
rim_young_mod,GPa,69,69,69,69,69,69,69,69,200
rim_shear_mod,GPa,26,26,26,26,26,26,26,26,80
rim_area,mm^2,104,104,100,100,100,100,100,100,100
rim_EI1,N m^2,111,111,200,150,200,150,200,200,300
rim_EI2,N m^2,219,219,200,150,200,150,200,200,300
rim_GJ,N m^2,26.3,26.3,12,15,80,40,150,80,100
hub_width,mm,53,48,60,50,50,50,60,70,90
hub_diameter,mm,58,58,50,50,50,50,50,50,50
spk_num,,36,36,32,36,24,32,32,40,64
spk_pattern,,radial,radial,radial,radial,radial,radial,radial,radial,radial
spk_diameter,mm,1.78,1.78,2,1.8,1.8,1.8,1.8,2,2
spk_young_mod,GPa,210,210,210,210,210,210,210,210,210
spk_offset,mm,0,0,0,0,0,0,0,0,0
